Country Code,State Code,ZIP/Postcode,City,Rate %
US,OK,74034,HALLETT,10.6
US,OK,74038,HALLETT,10.6
US,OK,73650,HAMMON,9
US,OK,74845,HANNA,10.5
US,OK,73944,HARDESTY,9.95
US,OK,73537,HARMON,8.5
US,OK,73571,HARMON,8.5
US,OK,73855,HARPER,6.5
US,OK,74547,HARTSHORNE,9.75
US,OK,74436,HASKELL,9.5
US,OK,74440,HASKELL,6.5
US,OK,74943,HASKELL,6.5
US,OK,73548,HASTINGS,9.5
US,OK,74740,HAWORTH,9.75
US,OK,73549,HEADRICK,5.625
US,OK,73438,HEALDTON,9.375
US,OK,74937,HEAVENER,10
US,OK,74940,HEAVENER,10
US,OK,73741,HELENA,9.5
US,OK,74741,HENDRIX,5
US,OK,73742,HENNESSEY,9.75
US,OK,73743,HILLSDALE,5.85
US,OK,73047,HINTON,9.75
US,OK,73744,HITCHCOCK,8.375
US,OK,74438,HITCHITA,6.5
US,OK,73651,HOBART,10
US,OK,74848,HOLDENVILLE,10.5
US,OK,73550,HOLLIS,11.5
US,OK,73551,HOLLISTER,9.5
US,OK,74035,HOMINY,9.25
US,OK,73945,HOOKER,9.95
US,OK,74743,HUGO,10
US,OK,74441,HULBERT,10.25
US,OK,74640,HUNTER,6.85
US,OK,73048,HYDRO,10.5
US,OK,74728,IDABEL,10.25
US,OK,74745,IDABEL,10.25
US,OK,73552,INDIAHOMA,8.875
US,OK,74442,INDIANOLA,9
US,OK,74346,JAY,9.2
US,OK,73561,JEFFERSON,6.5
US,OK,73749,JET,9.5
US,OK,74836,JOHNSTON,6.5
US,OK,73020,JONES,9.5
US,OK,73049,JONES,9.5
US,OK,73084,JONES,9.5
US,OK,74347,KANSAS,10.2
US,OK,74641,KAW CITY,10.25
US,OK,74747,KEMP,5
US,OK,74079,KENDRICK,9.5
US,OK,74748,KENEFIC,8
US,OK,74941,KEOTA,10
US,OK,74349,KETCHUM,9.5
US,OK,73947,KEYES,8.5
US,OK,74041,KIEFER,9.667
US,OK,73750,KINGFISHER,9.25
US,OK,73764,KINGFISHER,5.75
US,OK,73439,KINGSTON,9.5
US,OK,74552,KINTA,9
US,OK,74553,KIOWA,11
US,OK,74849,KONAWA,9.75
US,OK,74554,KREBS,10
US,OK,73753,KREMLIN,7.85
US,OK,73754,LAHOMA,9.35
US,OK,74850,LAMAR,8.5
US,OK,74643,LAMONT,10.75
US,OK,74301,LANGLEY,9.5
US,OK,74350,LANGLEY,8.875
US,OK,73027,LANGSTON,9.25
US,OK,73044,LANGSTON,9.25
US,OK,73050,LANGSTON,9.25
US,OK,74545,LATIMER,5.75
US,OK,74559,LATIMER,5.75
US,OK,73848,LAVERNE,9.75
US,OK,73501,LAWTON,9
US,OK,73502,LAWTON,9
US,OK,73503,LAWTON,9
US,OK,73505,LAWTON,9
US,OK,73506,LAWTON,9
US,OK,73507,LAWTON,9
US,OK,74549,LE FLORE,6.5
US,OK,74577,LE FLORE,6.5
US,OK,74939,LE FLORE,6.5
US,OK,74947,LE FLORE,6.5
US,OK,74949,LE FLORE,6.5
US,OK,73654,LEEDEY,9.25
US,OK,74942,LEFLORE,7.5
US,OK,74556,LEHIGH,8.5
US,OK,74042,LENAPAH,8.5
US,OK,73441,LEON,7
US,OK,73442,LOCO,8.2
US,OK,74352,LOCUST GROVE,10.875
US,OK,73443,LONE GROVE,9.375
US,OK,73463,LONE GROVE,9.375
US,OK,73655,LONE WOLF,9
US,OK,73755,LONGDALE,8.375
US,OK,73053,LOOKEBA,9
US,OK,73430,LOVE,7
US,OK,73453,LOVE,7
US,OK,73756,LOYAL,9.75
US,OK,74852,MACOMB,8.995
US,OK,73446,MADILL,9.5
US,OK,71953,MAJOR,6.25
US,OK,73747,MAJOR,6.25
US,OK,73838,MAJOR,6.25
US,OK,73758,MANCHESTER,6.75
US,OK,73554,MANGUM,9.5
US,OK,73555,MANITOU,9.5
US,OK,74044,MANNFORD,9.6
US,OK,74081,MANNFORD,9.6
US,OK,73401,MANNSVILLE,9.5
US,OK,73447,MANNSVILLE,9.5
US,OK,74045,MARAMEC,9.1
US,OK,74945,MARBLE CITY,8.917
US,OK,73448,MARIETTA,10
US,OK,74644,MARLAND,9
US,OK,73056,MARSHALL,9.25
US,OK,73440,MARSHALL,6.5
US,OK,73556,MARTHA,5.625
US,OK,74854,MAUD,9.995
US,OK,73851,MAY,8.5
US,OK,73057,MAYSVILLE,9.25
US,OK,74502,MCALESTER,10
US,OK,74722,MCCURTAIN,6.25
US,OK,74724,MCCURTAIN,6.25
US,OK,74734,MCCURTAIN,6.25
US,OK,74737,MCCURTAIN,6.25
US,OK,74752,MCCURTAIN,6.25
US,OK,74944,MCCURTAIN,10
US,OK,74963,MCCURTAIN,6.25
US,OK,74461,MCINTOSH,6.5
US,OK,74804,MCLOUD,9.995
US,OK,74857,MCLOUD,9.995
US,OK,73449,MEAD,7
US,OK,73759,MEDFORD,9.75
US,OK,73557,MEDICINE PARK,9
US,OK,74855,MEEKER,9.5
US,OK,73760,MENO,9.25
US,OK,73768,MENO,9.25
US,OK,73058,MERIDIAN,7.25
US,OK,74355,MIAMI,9.5
US,OK,73110,MIDWEST CITY,9.1
US,OK,73115,MIDWEST CITY,9.1
US,OK,73117,MIDWEST CITY,9.1
US,OK,73140,MIDWEST CITY,9.1
US,OK,73150,MIDWEST CITY,9.1
US,OK,73450,MILBURN,8.5
US,OK,74856,MILL CREEK,10
US,OK,74750,MILLERTON,9.25
US,OK,74764,MILLERTON,9.25
US,OK,73059,MINCO,9.25
